1.0	0.6 percent	be in	December	PERCENT	DATE
1.0	Federal Statistics Office	say on	Thursday	ORGANIZATION	DATE
1.0	country 's inflation	come for	whole of 2006	0	DATE
1.0	country	have	inflation	O	O
1.0	country	have	inflation	0	0
1.0	December 's consumer price index	be virtually unchanged from	November	DATE	DATE
1.0	country 's inflation	come to	1.1 percent	0	PERCENT
1.0	December 's consumer price index	be	virtually unchanged	DATE	0
1.0	December	have	consumer price index	DATE	0
1.0	2006	have	whole	O	DATE
1.0	country 's inflation	come for	whole	0	0
1.0	December 's consumer price index	be	unchanged	DATE	0
1.0	consumer price	be in	Switzerland	0	LOCATION
1.0	December	have	consumer price index	O	DATE
1.0	December 's consumer price index	be unchanged from	November	DATE	DATE
