1.0	midnight	have	stroke	O	TIME
1.0	weather	hamper	reveller	0	0
1.0	weather	meanwhile force	cancellation of festivity in New Zealand	0	LOCATION
1.0	their	have	knives	O	O
1.0	reveller	be reportedly turn away in	Moscow	0	LOCATION
1.0	New Year	coincide with	festival of Eid al-Adha	DATE	0
1.0	New Year 's Eve party	be cancel	due	DATE	0
1.0	reveller	be turn from	Red Square	0	LOCATION
1.0	they	struggle goat at	start	0	0
1.0	foreigner	be in	mysterious wave of blast	0	0
1.0	majority	up brave	security	0	0
1.0	capacity 15,000 crowd	once fill	square	NUMBER	0
1.0	bad weather	hamper	reveller	0	0
1.0	parts	have	cancellation	O	O
1.0	authority	cancel	traditional year fiesta in city centre	0	0
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by separatist group ETA	0	DATE
1.0	river thame	be in	London	0	LOCATION
1.0	authority	cancel	traditional new year fiesta in city centre	0	0
1.0	Wellington	be in	New Zealand	LOCATION	LOCATION
1.0	vast majority	up brave	heighten security	0	0
1.0	authority	cancel	traditional new year fiesta	0	0
1.0	2007	bring	change	DATE	0
1.0	Scotland	for	biggest holiday	LOCATION	DATE
1.0	vast majority	pack into	New York 's Times Square	0	LOCATION
1.0	authority	also cancel	year fiesta	0	0
1.0	revellers	have	thousands	O	O
1.0	annual New Year 's Eve party	be cancel	due to rain	DATE	0
1.0	two country	become	26th member	NUMBER	ORDINAL
1.0	authority	cancel	new year fiesta	0	0
1.0	cheer	display over	house of Parliament 's famous clock tower	0	ORGANIZATION
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast	0	DATE
1.0	deadly bombing	cut new year celebration in	the Thai capital Bangkok	0	LOCATION
1.0	reveller	be turn away in	Moscow	0	LOCATION
1.0	reveller	be reportedly turn from	Red Square	0	LOCATION
0.298122624548545	they	struggle at	start of feast	0	0
1.0	600 people	take	love say	NUMBER	0
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by basque separatist group ETA	0	DATE
1.0	miles	have	winds	O	O
1.0	they	struggle goat during	attempt	0	0
1.0	weather	meanwhile force	cancellation of festivity	0	0
1.0	cheer	display over	house	0	0
1.0	balloons	have	overhead	O	O
1.0	thousands	have	Hundreds	O	O
1.0	New York	into	Times Square	LOCATION	LOCATION
1.0	weather	force	cancellation	0	0
1.0	capital	have	Brandenburg Gate	LOCATION	O
1.0	annual outdoor New Year 's Eve party	be in	Wellington	DATE	LOCATION
0.7518586207057653	goat	start	bull	0	0
1.0	celebration	be in	northern irish capital of Belfast	0	LOCATION
1.0	authority	cancel	new year fiesta in city centre	0	0
1.0	world	have	tallest observation wheel	0	0
1.0	german	take	advantage of mild weather	0	0
1.0	vast majority	celebrate	pack	0	0
1.0	weather	force	cancellation of festivity	0	0
1.0	under banner	read to	2007	0	DATE
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed separatist group ETA	0	DATE
1.0	fireworks	have	kilograms	O	O
1.0	capacity crowd	fill square for	midnight concert	0	DATE
1.0	severe weather	force	cancellation of festivity in New Zealand	0	LOCATION
1.0	New Year	create	opportunity	DATE	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim	0	DATE
1.0	firework	of kilogram be	6,600 pound	0	MONEY
1.0	New Delhi	arrest	two islamic militant	LOCATION	NUMBER
1.0	people	join	Hogmanay celebration in Edinburgh	0	LOCATION
1.0	majority	brave	heighten security	0	0
1.0	vast majority	brave	security	0	0
1.0	cheer	display over	house of Parliament 's clock tower	0	ORGANIZATION
1.0	New Year 's Eve party	be cancel	due to rain	DATE	0
1.0	spectacular sound	show	light	0	0
1.0	majority	pack into	New York 's Times Square	0	LOCATION
1.0	year	have	day	DATE	DATE
1.0	severe weather	force	cancellation	0	0
1.0	people	take	french love say	0	0
1.0	people	join	annual Hogmanay celebration	0	SET
1.0	Edinburgh	have	hubs	O	LOCATION
1.0	Liverpool	have	cities	O	ORGANIZATION
1.0	hundred	descend on	downtown	0	0
1.0	authority	also cancel	traditional new year fiesta in city centre	0	0
1.0	vast majority	brave	heighten security	0	0
1.0	New Year ball	make	its plunge	DATE	0
1.0	New Year	create	opportunity for double celebration in muslim	DATE	0
1.0	firework	be in	EU	0	ORGANIZATION
1.0	crowd	join	Auld Lang Syne	0	0
1.0	weather	force	cancellation of festivity in New Zealand	0	LOCATION
0.6429904308382568	estimate people	throng	Australia 's Sydney Harbour for huge firework	0	LOCATION
1.0	estimate 400,000	crowd champs-elysees in	Paris	NUMBER	LOCATION
0.298122624548545	they	struggle at	start of feast of Sacrifice	0	0
1.0	two country	become	member of bloc	NUMBER	0
1.0	country	become	26th member	0	ORDINAL
1.0	authority	also cancel	traditional year fiesta	0	0
1.0	New Year 's Eve party	be	cancel	DATE	0
0.298122624548545	they	struggle at	start	0	0
0.298122624548545	they	struggle at	start of muslim feast	0	0
1.0	2007	bring	immediate change	DATE	0
1.0	they	struggle goat at	start of feast	0	0
1.0	weather	hamper reveller from	New Zealand	0	LOCATION
1.0	people	take	love	0	0
1.0	reveller	be	in Moscow reportedly turn from Red Square	0	LOCATION
1.0	people	join	Hogmanay celebration	0	0
1.0	they	struggle	goat	0	0
1.0	traditional new year fiesta	be in	city centre	0	0
0.6429904308382568	estimate one million people	throng	Australia 's Sydney Harbour for huge firework	NUMBER	LOCATION
1.0	german	take	advantage	0	0
1.0	two people	be kill	more	NUMBER	0
1.0	New Year ball	usher in	New year	DATE	DATE
1.0	New Delhi	arrest	two militant	LOCATION	NUMBER
1.0	capacity 15,000 crowd	fill	square	NUMBER	0
1.0	their biggest parties	have	parties	O	O
1.0	New Year	have	Eve	DATE	DATE
1.0	country	become	26th member of bloc	0	ORDINAL
1.0	outdoor New Year 's Eve party	be cancel	due	DATE	0
1.0	authority	also cancel year fiesta as	precaution	0	0
1.0	majority	brave	security	0	0
1.0	clock tower	have	Houses	ORGANIZATION	O
1.0	2006	have	seconds	DATE	DATE
1.0	annual Hogmanay celebration	be in	Edinburgh	SET	LOCATION
1.0	Edinburgh	point for	Scotland 's biggest holiday	LOCATION	DATE
1.0	people	take	french love	0	0
1.0	vast majority	however celebrate	pack into New York 's Times Square	0	LOCATION
1.0	600 people	take	french love	NUMBER	0
1.0	authority	also cancel	traditional year fiesta in city centre	0	0
1.0	fireworks	have	cancellation	O	O
1.0	2007	bring change in	Hong Kong	DATE	LOCATION
1.0	country	become	member	0	0
1.0	New York	have	Times Square	LOCATION	LOCATION
0.15140126796757591	estimate 400,000	crowd	see	NUMBER	0
1.0	Bulgaria	have	capitals	O	LOCATION
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast	0	DATE
0.6429904308382568	estimate people	throng	Sydney Harbour for huge firework	0	LOCATION
1.0	they	struggle goat at	start of muslim feast of Sacrifice	0	0
1.0	crowd	join	Auld Lang Syne with firework	0	0
1.0	they	mill	about under banner	0	0
1.0	world	have	observation wheel	O	O
1.0	rubles	have	price	O	MONEY
1.0	confetti	have	overhead	O	O
1.0	people	have	have expect	0	0
1.0	Australia	have	Sydney Harbour	LOCATION	LOCATION
1.0	reveller	be	turn	0	0
1.0	they	struggle goat during	attempt at ritual slaughter	0	0
1.0	german	take	advantage of weather	0	0
1.0	reveller	be reportedly turn in	Moscow	0	LOCATION
1.0	Madrid	cancel	its festivity	LOCATION	0
1.0	New Year	create	opportunity for double celebration	DATE	0
1.0	600 people	take	french love say	NUMBER	0
1.0	authority	cancel	year fiesta	0	0
1.0	severe weather	force	cancellation of festivity	0	0
1.0	Wellington	be capital of	New Zealand	LOCATION	LOCATION
1.0	ETA	be by	basque	ORGANIZATION	0
1.0	people	be watch on	television around world	0	0
1.0	sparkling New Year ball	make	its plunge	DATE	0
1.0	people	join	annual Hogmanay celebration in Edinburgh	0	LOCATION
1.0	two country	become	26th member of bloc	NUMBER	ORDINAL
1.0	sparkling New Year ball	usher in	New year	DATE	DATE
1.0	capital	see	they party	0	0
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim	0	DATE
1.0	Scotland	have	holiday	O	LOCATION
1.0	capacity crowd	once fill square for	midnight concert	0	DATE
1.0	Belfast	have	capital	O	LOCATION
1.0	people	take	love say	0	0
1.0	New Year ball	make	its famous plunge	DATE	0
1.0	house of Parliament	of	famous clock tower	ORGANIZATION	0
1.0	an ETA bombing	have	festivities	O	O
1.0	reveller	be	in Moscow turn from Red Square	0	LOCATION
1.0	capacity crowd	fill	square	0	0
1.0	they	mill	under banner	0	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by separatist group ETA	0	DATE
1.0	severe weather	meanwhile force	cancellation of festivity in New Zealand	0	LOCATION
1.0	summer temperatures	have	some	O	O
1.0	follow Saturday	follow	airport bomb blast claim by armed basque separatist group ETA	DATE	ORGANIZATION
1.0	authority	cancel year fiesta as	precaution	0	0
1.0	New Year	coincide with	festival	DATE	0
1.0	deadly bombing	cut	New Year celebration	0	DATE
1.0	New Year	create	opportunity for celebration in muslim	DATE	0
0.298122624548545	they	struggle during	attempt	0	0
1.0	crowd	join auld lang syne in	singing	0	0
1.0	reveller	be reportedly turn away from	Red Square	0	LOCATION
1.0	authority	cancel	traditional year fiesta	0	0
1.0	vast majority	up brave	security	0	0
1.0	authority	also cancel	new year fiesta	0	0
1.0	blast	remain	miss	0	0
1.0	capacity 15,000 crowd	once fill square for	midnight concert	NUMBER	DATE
1.0	Sacrifice	have	Feast	O	O
1.0	two country	celebrate	become	NUMBER	0
1.0	bloc	have	members	O	O
0.15140126796757591	estimate 400,000	crowd	see in New year	NUMBER	DATE
1.0	celebration	be	cancel	0	0
1.0	capacity 15,000 crowd	fill square for	midnight concert	NUMBER	DATE
1.0	blasts	have	wave	O	O
1.0	capital	at	Brandenburg Gate	0	LOCATION
1.0	annual New Year 's Eve party	be cancel	due	DATE	0
1.0	its	have	plunge	O	O
1.0	weather	have	advantage	O	O
1.0	party-goer	liable to	on-the	0	0
1.0	Belfast	hub of	Edinburgh	LOCATION	LOCATION
1.0	New Delhi	arrest	police	LOCATION	0
1.0	authority	cancel	year fiesta in city centre	0	0
1.0	bombing	cut	New Year celebration	0	DATE
1.0	bombing	cut new year celebration in	the Thai capital Bangkok	0	LOCATION
1.0	organiser	lash by	rain	0	0
1.0	annual outdoor New Year 's Eve party	be cancel	due	DATE	0
1.0	New Year	coincide with	muslim festival	DATE	0
1.0	Feast	have	start	O	O
1.0	Nantes	have	city	O	LOCATION
1.0	authority	also cancel	traditional new year fiesta	0	0
1.0	Parliament	have	clock tower	O	ORGANIZATION
1.0	authority	also cancel	year fiesta in city centre	0	0
1.0	reveller	be turn in	Moscow	0	LOCATION
1.0	New Year 's Eve party	be cancel on	record	DATE	0
1.0	majority	however celebrate	pack	0	0
1.0	annual outdoor New Year 's Eve party	be cancel	due to rain	DATE	0
1.0	Romania	have	capitals	O	LOCATION
1.0	vast majority	celebrate	pack into New York 's Times Square	0	LOCATION
1.0	the Thai capital Bangkok	be in	Thai	LOCATION	MISC
1.0	security	be	tight	0	0
1.0	people	be watch on	television	0	0
0.6429904308382568	one million people	throng	Sydney Harbour for huge firework	NUMBER	LOCATION
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by basque separatist group ETA	0	DATE
1.0	Eid al-Adha	have	festival	O	O
1.0	Leeds	have	cities	O	ORGANIZATION
1.0	outdoor New Year 's Eve party	be cancel on	record	DATE	0
1.0	they	struggle goat at	start of muslim feast	0	0
1.0	weather	hamper reveller to	Scotland	0	LOCATION
1.0	double celebration	be in	muslim	0	0
1.0	Britain	have	parts	O	LOCATION
1.0	its	have	arrival	O	O
1.0	majority	celebrate	pack	0	0
1.0	Champs-Elysees	see in	New year	0	DATE
1.0	bombing	cut	short New Year celebration	0	DATE
1.0	Auld Lang Syne	be with	firework burst	0	0
1.0	authority	be in	Madrid	0	LOCATION
1.0	german	take advantage with	organiser	0	0
1.0	reveller	be	turn away	0	0
1.0	severe weather	meanwhile force	cancellation of festivity	0	0
1.0	reveller	be	reportedly turn away	0	0
1.0	capacity crowd	once fill	square	0	0
1.0	severe weather	meanwhile force	cancellation	0	0
1.0	annual New Year 's Eve party	be	cancel	DATE	0
