1.0	embattled US president	number in	cellar	LOCATION	0
1.0	Bush	escalate	number of US troops	PERSON	LOCATION
1.0	he	tap	former head	0	0
1.0	President George W. Bush	be embark on	overhaul of US diplomatic	PERSON	LOCATION
1.0	President George W. Bush	fill	critical diplomatic vacancy	PERSON	0
1.0	National Security Agency	have	head	O	ORGANIZATION
0.5245217434442611	it	bring war to	close	0	0
1.0	Lieutenant General David Petraeus 54	would replace	General George Casey as man	NUMBER	PERSON
1.0	Fallon	be involve in	Bosnia	PERSON	LOCATION
1.0	Lieutenant General David Petraeus	would replace general george casey accord to	White house-endorsed recommendation from Defense Secretary Robert Gates	PERSON	PERSON
1.0	troops	have	point	O	O
1.0	US Central Command	have	head	O	ORGANIZATION
1.0	retired vice admiral Michael McConnell	replace negroponte at	head of 16 US spy agency	PERSON	LOCATION
1.0	us-led force	be in	Iraq	0	LOCATION
1.0	Bush	be unhappy with	performance of general	PERSON	0
1.0	vice admiral Michael McConnell	replace	Negroponte	PERSON	PERSON
1.0	President George W. Bush	describe fallon as	one of America 's strategist	PERSON	LOCATION
1.0	President George W. Bush	dump defense secretary donald rumsfeld at_time	last year	PERSON	DATE
1.0	President George W. Bush	have	plan	O	O
1.0	William Fallon	head of	US force in Pacific	PERSON	LOCATION
1.0	David Petraeus	be	54	PERSON	NUMBER
1.0	two leader	take aim at	news report	NUMBER	0
1.0	Lieutenant General David Petraeus 54	would replace general george casey accord to	White recommendation from Defense Secretary Robert Gates	NUMBER	PERSON
1.0	consultation	be with	key world leader	0	0
1.0	Casey 58	be promote to	Army chief	PERSON	ORGANIZATION
1.0	US Congress	send	US troops	LOCATION	LOCATION
1.0	US forces	have	head	O	O
1.0	forces	have	commander	O	O
1.0	retired vice admiral Michael McConnell	replace	Negroponte	PERSON	PERSON
1.0	vision	have	soldier	O	O
1.0	their	have	responsibilities	O	O
1.0	his	have	Iraq approach	O	O
1.0	Congress	be	US	ORGANIZATION	LOCATION
1.0	Lieutenant General David Petraeus	would replace general george casey accord to	White house-endorsed recommendation	PERSON	MISC
1.0	coalition forces	have	charge	O	O
1.0	America	have	strategists	O	LOCATION
1.0	State Department	have	one	NUMBER	ORGANIZATION
1.0	President George W. Bush	fill	diplomatic vacancy	PERSON	0
1.0	His	have	experience	O	O
1.0	Lieutenant General David Petraeus	would replace general george casey accord to	White recommendation from Defense Secretary Robert Gates	PERSON	PERSON
1.0	President George W. Bush	dump defense secretary donald rumsfeld at_time	late last year	PERSON	DATE
1.0	President George W. Bush	name	new US spy chief	PERSON	LOCATION
1.0	our	have	military	O	O
1.0	Senate Majority Leader Harry Reid	write	House of Representatives Speaker Nancy Pelosi	ORGANIZATION	ORGANIZATION
1.0	Americans	add	combat troops	MISC	0
1.0	US forces	have	deployment	O	O
1.0	President George W. Bush	dump defense secretary donald rumsfeld at_time	year	PERSON	DATE
1.0	deputy	have	US Secretary	O	O
1.0	Michael McConnell	head of	National Security Agency	PERSON	ORGANIZATION
1.0	President George W. Bush	also fill	diplomatic vacancy	PERSON	0
1.0	US Congress	send	more US troops	LOCATION	LOCATION
1.0	Zalmay Khalilzad	envoy to	United Nations	PERSON	ORGANIZATION
1.0	US casualties	have	thousands	O	O
1.0	he	tap	vice admiral Michael McConnell	0	PERSON
1.0	White House	dismiss	suggestion	ORGANIZATION	0
1.0	Fallon	be	navy combat pilot	PERSON	0
1.0	Condoleezza Rice	be 's	State	PERSON	ORGANIZATION
1.0	war	be in	Afghanistan	0	LOCATION
1.0	his	have	job approval numbers	O	O
1.0	President George W. Bush	be embark on	overhaul	PERSON	0
1.0	America	of	foremost military strategist	LOCATION	0
1.0	leader	take	aim	0	0
1.0	President George W. Bush	describe fallon as	one of America 's foremost military strategist	PERSON	LOCATION
1.0	NATO	have	Operation Deliberate Force	ORGANIZATION	ORGANIZATION
1.0	rule	have	years	DURATION	O
1.0	leader	take aim at	news report	0	0
1.0	staff	have	Army chief	O	O
