1.0	Saturday	be	internal	0	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush	rising international criticism	PERSON	0
1.0	dictator	have	execution	O	O
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside	rising criticism	PERSON	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside	international criticism	PERSON	0
1.0	Nuri al-Maliki	be on	Saturday	PERSON	DATE
1.0	Prime Minister Nuri al-Maliki	brush	rising international criticism	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush	criticism	PERSON	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush	rising criticism	PERSON	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside criticism over	execution of Saddam Hussein	PERSON	PERSON
1.0	iraqi Prime Minister Nuri al-Maliki	brush criticism over	bungle execution	PERSON	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside criticism over	bungle execution of Saddam Hussein	PERSON	PERSON
1.0	iraqi Prime Minister Nuri al-Maliki	brush criticism over	execution of Saddam Hussein	PERSON	PERSON
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside	rising international criticism	PERSON	0
1.0	the dictator	have	reaction	O	O
1.0	Prime Minister Nuri al-Maliki	brush	international criticism	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside	criticism	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside criticism over	bungle execution of Saddam Hussein	PERSON	PERSON
1.0	iraqi Prime Minister Nuri al-Maliki	brush criticism over	bungle execution of Saddam Hussein	PERSON	PERSON
1.0	iraqi Prime Minister Nuri al-Maliki	brush criticism over	execution	PERSON	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside criticism over	bungle execution	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside criticism over	bungle execution	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush criticism over	execution of Saddam Hussein	PERSON	PERSON
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside criticism over	execution	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush criticism over	execution	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside criticism over	execution	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush criticism over	bungle execution of Saddam Hussein	PERSON	PERSON
1.0	Prime Minister Nuri al-Maliki	brush criticism over	bungle execution	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside	rising criticism	PERSON	0
1.0	iraqi Prime Minister Nuri al-Maliki	brush aside	criticism	PERSON	0
1.0	oust president	to	hanging in Baghdad on December 30	0	DATE
1.0	Prime Minister Nuri al-Maliki	brush aside	international criticism	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside	rising international criticism	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush	rising criticism	PERSON	0
1.0	Iraqi Prime Minister Nuri al-Maliki on Saturday	have	country	O	O
1.0	Maliki	be in	he first reaction to oust president 's hanging	PERSON	ORDINAL
1.0	Nuri al-Maliki	be	iraqi	PERSON	0
1.0	Saddam Hussein	have	execution	O	PERSON
1.0	president	have	hanging	O	O
1.0	iraqi Prime Minister Nuri al-Maliki	brush	criticism	PERSON	0
1.0	Baghdad	be on	December 30	LOCATION	DATE
1.0	iraqi Prime Minister Nuri al-Maliki	brush	international criticism	PERSON	0
1.0	Prime Minister Nuri al-Maliki	brush aside criticism over	execution of Saddam Hussein	PERSON	PERSON
