1.0	nobody	be control town at_time	morning	0	TIME
1.0	they	be	drive on Saturday about 100 kilometre north of Kismayo	0	DATE
1.0	they	regroup in	Kismayo 400 kilometre south	0	LOCATION
1.0	they	be	drive on Saturday from Jilib township about north of Kismayo	0	DATE
0.9905142867684649	fighter	abandon on	Monday	0	DATE
1.0	they	regroup in	Kismayo 400 kilometre south of Mogadishu	0	LOCATION
1.0	capital Mogadishu	have	control	O	LOCATION
1.0	they	abandon	Kismayo	0	LOCATION
1.0	Gedi	say on	Saturday	PERSON	DATE
1.0	urgent regional summit	be in	new year	ORGANIZATION	DATE
1.0	they	be	drive on Saturday from Jilib township about 100 kilometre north of Kismayo	0	DATE
1.0	local clan militia	have loot	headquarters of court	0	0
1.0	Mogadishu	have	south	O	LOCATION
1.0	African nation	have call on	ethiopian military	MISC	0
1.0	they	abandon kismayo without	bloodshed	0	0
1.0	forces	have	intervention	O	O
1.0	they	be	defeat	0	0
1.0	they	be drive about	about 100 kilometre north Kismayo	0	LOCATION
1.0	they	be drive about	about Kismayo	0	LOCATION
1.0	his	have	fighters	O	O
1.0	President Mwai Kibaki	say at_time	Sunday	PERSON	DATE
1.0	islamist fighter	vow	fight	0	0
1.0	new year	in summit be	IGAD	DATE	ORGANIZATION
1.0	he	see	islamic fighter	0	0
1.0	offer	so far have fall on	ear	0	0
1.0	nobody	be control	town	0	0
1.0	intervention	enable	government	0	0
0.9905142867684649	islamist fighter	abandon after	government troops	0	0
1.0	offer	have fall on	ear	0	0
1.0	military	have	presence	O	O
1.0	nobody	be control	town on Monday	0	DATE
0.900004581554654	local clan militia	headquarters of	court	0	0
1.0	he	see	fighter	0	0
1.0	Islamists	paint presence as	foreign invasion	MISC	0
1.0	they	regroup in	Kismayo south	0	LOCATION
0.900004581554654	local clan militia	headquarters of	islamic court	0	0
1.0	they	be drive on	Saturday	0	DATE
1.0	his	have	country	O	O
0.900004581554654	clan militia	headquarters of	islamic court	0	0
1.0	offer	so far have fall on	deaf ear	0	0
1.0	Somalia	disintegrate into	lawlessness	LOCATION	0
0.8848823109779144	ethiopian artillery	day	tank	0	0
1.0	peace talks	have	offers	O	O
1.0	Islamists	have	links	O	MISC
1.0	whom	have	some	O	O
1.0	their	have	stronghold	O	O
1.0	people	have	thousands	O	O
1.0	Inter	have	chairman	O	ORGANIZATION
1.0	government	have	stronghold	O	O
1.0	African nation	have call	withdraw immediately	MISC	0
1.0	Islamists	paint	presence	MISC	0
1.0	African nation	have call	withdraw	MISC	0
0.9905142867684649	fighter	abandon after	ethiopian government troops	0	0
0.9905142867684649	islamist fighter	abandon in	Somalia	0	MISC
1.0	tide	force islamists on	back foot	0	0
1.0	offer	have fall with	leader	0	0
1.0	they	be	drive on Saturday about of Kismayo	0	DATE
1.0	Islamists	paint	presence of ethiopian military	MISC	0
1.0	offer	far have fall with	islamist leader refuse	0	0
1.0	Sheik Yaqub Ishak	have	fighters	O	O
1.0	islamic fighter	leave	town	0	0
1.0	US embassy	be in	Nairobi	LOCATION	LOCATION
1.0	offer	have fall with	islamist leader	0	0
1.0	offer	far have fall with	leader	0	0
1.0	they	be	drive on Saturday from Jilib township	0	DATE
0.9905142867684649	fighter	abandon in	Somalia	0	MISC
0.8848823109779144	artillery	day	tank	0	0
1.0	clan militia	take	weapon	0	0
1.0	withdrawal	be	military	0	0
1.0	offer	far have fall on	deaf ear	0	0
1.0	fighter	leave	town	0	0
1.0	offer	so far have fall with	islamist leader	0	0
1.0	they	be	drive on Saturday about north of Kismayo	0	DATE
1.0	courts	have	headquarters	O	O
0.8848823109779144	artillery	day of	heavy fighting	0	0
1.0	Kismayo	have	stronghold	O	LOCATION
1.0	Mwai Kibaki	be	kenyan	PERSON	0
0.9905142867684649	islamist fighter	abandon after	ethiopian government troops	0	0
1.0	intervention last month	enable	government	DATE	0
1.0	they	be	drive from Jilib township about of Kismayo	0	LOCATION
1.0	they	be drive about	about north Kismayo	0	LOCATION
1.0	Kismayo	have	loss	O	LOCATION
1.0	Ethiopia	of	well-equipped armed force	LOCATION	0
1.0	Islamists ' alleged link	be with	Al Qaeda	MISC	ORGANIZATION
1.0	they	regroup in	Kismayo	0	LOCATION
1.0	Kismayo	have	streets	O	LOCATION
1.0	they	be	drive on Saturday from Jilib township about of Kismayo	0	DATE
0.9905142867684649	islamist fighter	abandon in	southern Somalia	0	MISC
1.0	offer	so far have fall with	islamist leader refuse	0	0
1.0	Somalia	disintegrate after	1991 ousting of dictator Mohamed Siad Barre	LOCATION	PERSON
1.0	those	have	some	O	O
0.8848823109779144	ethiopian artillery	day	aircraft	0	0
1.0	Islamists	paint	presence of military	MISC	0
1.0	town	have	resident	O	O
1.0	kenyan President Mwai Kibaki	say at_time	Sunday	PERSON	DATE
1.0	they	be	drive	0	0
1.0	government	have	hands	O	O
1.0	Kismayo	be in	hand	LOCATION	0
1.0	offer	so far have fall with	leader refuse	0	0
1.0	his	have	forces	O	O
1.0	they	be	drive from Jilib township about 100 kilometre north of Kismayo	0	LOCATION
1.0	Ethiopia	have	forces	O	LOCATION
0.8848823109779144	artillery	day	aircraft	0	0
1.0	israeli-owned hotel	be in	Kenya	0	LOCATION
1.0	intervention month	enable	government	DATE	0
1.0	nobody	be control town accord to	resident	0	0
0.9905142867684649	fighter	abandon in	southern Somalia	0	MISC
1.0	local clan militia	have loot	headquarters of islamic court	0	0
1.0	offer	have fall on	deaf ear	0	0
1.0	local clan militia	take	weapon	0	0
1.0	bombing	have	accused	O	O
1.0	their	have	withdrawal	O	O
1.0	government	highlight	Islamists ' alleged link	0	MISC
1.0	town	have	control	O	O
1.0	they	be	drive from Jilib township about north of Kismayo	0	LOCATION
1.0	islamist fighter	advance towards	city	0	0
1.0	town	be	tense	0	0
1.0	Dar e salaam	be in	1998	LOCATION	DATE
1.0	Dar e salaam	be in	2002	LOCATION	DATE
1.0	President Mwai Kibaki	say at_time	late Sunday	PERSON	DATE
0.9905142867684649	fighter	abandon after	government troops	0	0
1.0	fortune	have	loss	O	O
1.0	nobody	be control town despite	government claim	0	0
1.0	clan militia	have loot	headquarters of court	0	0
1.0	tide	force islamists on	foot	0	0
1.0	clan militia	have loot	headquarters	0	0
1.0	dictator Mohamed Siad Barre	have	ousting	O	PERSON
1.0	country	have	much	O	O
1.0	Somalia	disintegrate after	1991 ousting	LOCATION	DATE
1.0	fighter	advance towards	city	0	0
1.0	offer	so far have fall with	leader	0	0
1.0	offer	far have fall with	islamist leader	0	0
1.0	islamist fighter	vow	fight on	0	0
1.0	he force	leave	Kismayo	0	LOCATION
1.0	African nation	have call on	military	MISC	0
1.0	Kismayo	be in	hand of government	LOCATION	0
1.0	The Islamists	withdraw from	capital	MISC	0
1.0	offer	far have fall on	ear	0	0
1.0	fighter	vow	fight	0	0
1.0	offer	far have fall with	leader refuse	0	0
1.0	they	be drive from	Jilib township	0	LOCATION
1.0	they	regroup in	Kismayo south of Mogadishu	0	LOCATION
1.0	our	have	enemies	O	O
1.0	clan militia	have loot	headquarters of islamic court	0	0
1.0	they	be defeat around	Jilib area	0	LOCATION
1.0	offer	have fall with	islamist leader refuse	0	0
1.0	government	highlight	Islamists ' link	0	MISC
1.0	The Islamists	withdraw on	Thursday	MISC	DATE
1.0	offer	have fall with	leader refuse	0	0
1.0	Kismayo	be in	already hand	LOCATION	0
1.0	town	be	very tense	0	0
1.0	nations	have	group	O	O
1.0	tide	force	Islamists	0	MISC
1.0	government	highlight	Islamists ' alleged link with Al	0	ORGANIZATION
1.0	Islamists	paint presence as	invasion	MISC	0
1.0	government	highlight	Islamists ' link with Al	0	ORGANIZATION
1.0	fighter	vow	fight on	0	0
0.9905142867684649	islamist fighter	abandon on	Monday	0	DATE
1.0	local clan militia	have loot	headquarters	0	0
0.900004581554654	clan militia	headquarters of	court	0	0
1.0	kenyan President Mwai Kibaki	say at_time	late Sunday	PERSON	DATE
1.0	Kismayo	be in	already hand of government	LOCATION	0
