1.0	change	be in	wording as signal	0	0
1.0	yen	elsewhere weaken significantly with	dollar break above 120-yen level for first time in over year	0	ORDINAL
1.0	euro	fall sharply at_time	Thursday	0	DATE
1.0	their	have	level	O	O
1.0	rate	be increase at	bank 's February meeting	0	DATE
1.0	intention	prepare	market for rate change	0	0
1.0	pound	spike	higher	0	0
1.0	it	remain compare with	forecast	0	0
1.0	single currency	be in	at 1.2906 dollar after 1.2935 Wednesday New York	0	NUMBER
1.0	majority	have see in	February	0	DATE
1.0	yen	elsewhere weaken significantly with	dollar	0	DURATION
1.0	Japan	have	Bank	ORGANIZATION	ORGANIZATION
1.0	yen	weaken significantly with	dollar	0	DURATION
1.0	boe	say risk to	inflation	0	0
1.0	majority	have see in	hike only February	0	DATE
1.0	yen	weaken with	dollar break above 120-yen level for time in over year	0	DURATION
1.0	yen	weaken with	dollar break above 120-yen level	0	DURATION
1.0	single european currency	be in	New York	0	LOCATION
1.0	yen	elsewhere weaken significantly across	board	0	DURATION
0.670813497539887	it	make in	its November inflation report	0	DATE
1.0	yen	elsewhere weaken with	dollar break above level for first time in over year	0	ORDINAL
1.0	yen	weaken significantly with	dollar break	0	DURATION
1.0	currency	have under	have pressure	0	0
1.0	single currency	be in	at 1.2906 dollar New York	0	MONEY
1.0	yen	elsewhere weaken with	dollar break	0	DURATION
1.0	yen	elsewhere weaken significantly with	dollar break above 120-yen level for time in over year	0	DURATION
1.0	March hike	come in	year	DATE	DATE
1.0	yen	weaken with	dollar break above 120-yen level in over year	0	DURATION
1.0	yen	elsewhere weaken significantly with	dollar break in over year	0	DURATION
1.0	its	have	level	O	O
1.0	yen	weaken significantly with	dollar break above 120-yen level in over year	0	DURATION
1.0	yen	elsewhere weaken with	dollar break above 120-yen level for first time	0	ORDINAL
1.0	single currency	be in	New York	0	LOCATION
1.0	euro	be change hand at	1.2906 dollar against 1.2935 dollar on Wednesday	0	MONEY
1.0	euro	fall sharply here against	dollar	0	0
1.0	bank president Jean Claude-Trichet	replace	word vigilant	PERSON	0
1.0	japanese currency	have under	have pressure	0	0
1.0	percent	have	chance	O	PERCENT
1.0	price	rise from	608.40 dollar	0	MONEY
1.0	yen	elsewhere weaken with	dollar break above 120-yen level for first time in over year	0	ORDINAL
1.0	yen	weaken significantly with	dollar break above 120-yen level for time	0	DURATION
1.0	yen	elsewhere weaken with	dollar break above 120-yen level for time	0	DURATION
1.0	rate	be increase at	February meeting	0	DATE
1.0	March hike	come later in	year	DATE	DATE
1.0	majority	have see in	only February	0	DATE
1.0	euro	fall here at_time	Thursday	0	DATE
1.0	yen	elsewhere weaken significantly with	dollar break above 120-yen level for first time	0	ORDINAL
0.8806338167375951	boe	cite	economic datum	0	0
1.0	yen	elsewhere weaken significantly with	dollar break above 120-yen level for time	0	DURATION
1.0	yen	weaken with	dollar break	0	DURATION
1.0	dollar	stand at	119.59	0	NUMBER
1.0	boe	say	risk	0	0
1.0	euro	fall here against	dollar	0	0
1.0	yen	weaken significantly with	dollar break above level in over year	0	DURATION
1.0	yen	elsewhere weaken across	board	0	DURATION
1.0	price	rise from	608.40 dollar on Wednesday	0	MONEY
1.0	its	have	November inflation report	O	O
1.0	intention	prepare	market	0	0
0.8806338167375951	boe	cite	strong datum	0	0
1.0	March hike	be much on	card with another	DATE	DATE
1.0	yen	elsewhere weaken with	dollar break above 120-yen level for time in over year	0	DURATION
1.0	euro	fall sharply here at_time	Thursday	0	DATE
1.0	single european currency	be in	late-day trade	0	DATE
1.0	yen	elsewhere weaken significantly with	dollar break above level for time	0	DURATION
1.0	Bank	catch	analyst	ORGANIZATION	DURATION
1.0	yen	weaken with	dollar break above level in over year	0	DURATION
1.0	March hike	be much on	card	DATE	0
1.0	quarter point	hike in	rate	DURATION	DURATION
1.0	yen	elsewhere weaken with	dollar break above level for time	0	DURATION
1.0	yen	elsewhere weaken significantly with	dollar break above level	0	DURATION
1.0	yen	elsewhere weaken significantly with	dollar break	0	DURATION
1.0	price	rise on	London Bullion Market	0	ORGANIZATION
0.8806338167375951	boe	cite	strong economic datum	0	0
0.8806338167375951	boe	cite datum over	past month	0	DATE
0.633593924617174	boe	say to	inflation	0	0
1.0	bank president Jean Claude-Trichet	address	press conference	PERSON	0
1.0	euro	be change hand at	1.2906 dollar	0	MONEY
1.0	euro	fall at_time	Thursday	0	DATE
1.0	euro	fall sharply against	dollar	0	0
1.0	yen	weaken with	dollar break above level	0	DURATION
1.0	euro	be change	hand	0	0
0.8448010756948203	interest rate	bank of	Japan	0	LOCATION
1.0	yen	weaken with	dollar break above level for first time	0	ORDINAL
1.0	currency	be in	at 1.2906 dollar New York	0	MONEY
1.0	yen	elsewhere weaken with	dollar break above level for time in over year	0	DURATION
1.0	single currency	be in	at 1.2906 dollar after 1.2935 late Wednesday New York	0	NUMBER
1.0	yen	elsewhere weaken significantly with	dollar break above level for first time	0	ORDINAL
1.0	european currency	be in	New York	0	LOCATION
1.0	yen	elsewhere weaken with	dollar break above level in over year	0	DURATION
1.0	March hike	be very much on	card	DATE	0
1.0	Central Bank	have	head	O	ORGANIZATION
1.0	yen	weaken significantly with	dollar break in over year	0	DURATION
0.7530756905354564	analyst	bank of	England	DURATION	ORGANIZATION
1.0	which	have	had	O	O
1.0	yen	weaken significantly with	dollar break above level for time	0	DURATION
1.0	pound	be	be trade at 1.9440 dollar	0	MONEY
1.0	yen	elsewhere weaken with	dollar break above level	0	DURATION
1.0	yen	weaken across	board	0	DURATION
1.0	yen	weaken significantly with	dollar break above 120-yen level for first time	0	ORDINAL
1.0	yen	weaken with	dollar break above 120-yen level for first time in over year	0	ORDINAL
0.8806338167375951	boe	cite	datum	0	0
1.0	yen	weaken with	dollar	0	DURATION
