0	AFP_ENG_20070101.0001.LDC2009T13
1	AFP_ENG_20070101.0002.LDC2009T13
2	AFP_ENG_20070101.0003.LDC2009T13
3	AFP_ENG_20070101.0004.LDC2009T13
4	AFP_ENG_20070101.0005.LDC2009T13
5	AFP_ENG_20070101.0006.LDC2009T13
6	AFP_ENG_20070101.0007.LDC2009T13
7	AFP_ENG_20070101.0008.LDC2009T13
8	AFP_ENG_20070101.0009.LDC2009T13
9	AFP_ENG_20070101.0011.LDC2009T13
10	AFP_ENG_20070101.0013.LDC2009T13
11	AFP_ENG_20070101.0015.LDC2009T13
12	AFP_ENG_20070101.0017.LDC2009T13
13	AFP_ENG_20070101.0018.LDC2009T13
14	AFP_ENG_20070101.0019.LDC2009T13
15	AFP_ENG_20070101.0020.LDC2009T13
16	AFP_ENG_20070101.0021.LDC2009T13
17	AFP_ENG_20070101.0022.LDC2009T13
18	AFP_ENG_20070101.0023.LDC2009T13
19	AFP_ENG_20070101.0024.LDC2009T13
20	AFP_ENG_20070101.0025.LDC2009T13
21	AFP_ENG_20070101.0026.LDC2009T13
22	AFP_ENG_20070101.0027.LDC2009T13
23	AFP_ENG_20070101.0028.LDC2009T13
24	AFP_ENG_20070101.0029.LDC2009T13
25	AFP_ENG_20070101.0030.LDC2009T13
26	AFP_ENG_20070101.0031.LDC2009T13
27	AFP_ENG_20070101.0032.LDC2009T13
28	AFP_ENG_20070101.0033.LDC2009T13
29	AFP_ENG_20070101.0035.LDC2009T13
30	AFP_ENG_20070101.0036.LDC2009T13
31	AFP_ENG_20070101.0037.LDC2009T13
32	AFP_ENG_20070101.0038.LDC2009T13
33	AFP_ENG_20070101.0039.LDC2009T13
34	AFP_ENG_20070101.0040.LDC2009T13
35	AFP_ENG_20070101.0043.LDC2009T13
36	AFP_ENG_20070101.0044.LDC2009T13
37	AFP_ENG_20070101.0045.LDC2009T13
38	AFP_ENG_20070101.0046.LDC2009T13
39	AFP_ENG_20070101.0047.LDC2009T13
40	AFP_ENG_20070101.0048.LDC2009T13
41	AFP_ENG_20070101.0049.LDC2009T13
42	AFP_ENG_20070101.0051.LDC2009T13
43	AFP_ENG_20070101.0052.LDC2009T13
44	AFP_ENG_20070101.0053.LDC2009T13
45	AFP_ENG_20070101.0054.LDC2009T13
46	AFP_ENG_20070101.0055.LDC2009T13
47	AFP_ENG_20070101.0056.LDC2009T13
